District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Thanh Xuan,20.9944171,105.8171316,Starbucks (Starbucks Nguyễn Tuân),20.9994662,105.801934,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,Hue Restaurant,21.03295852,105.8085001,Vietnamese Restaurant
Thanh Xuan,20.9944171,105.8171316,VietClimb,21.05580725,105.8413735,Climbing Gym
Thanh Xuan,20.9944171,105.8171316,InterContinental Hanoi Westlake,21.058378,105.83178,Hotel
Thanh Xuan,20.9944171,105.8171316,Bún Chả Đắc Kim,21.03224144,105.84814,Noodle Restaurant
Thanh Xuan,20.9944171,105.8171316,Đền Quán Thánh,21.04302366,105.8363946,Temple
Thanh Xuan,20.9944171,105.8171316,Chùa Trấn Quốc,21.04791766,105.8370998,Buddhist Temple
Thanh Xuan,20.9944171,105.8171316,Novotel Suites Hanoi,21.03028026,105.7854132,Hotel
Thanh Xuan,20.9944171,105.8171316,Crystal Jade Palace,21.00702538,105.7834651,Cantonese Restaurant
Thanh Xuan,20.9944171,105.8171316,Anita's Cantina,21.065331,105.8223,Mexican Restaurant
Thanh Xuan,20.9944171,105.8171316,CGV Cinemas Hồ Gươm Plaza,20.96129273,105.7821779,Movie Theater
Thanh Xuan,20.9944171,105.8171316,Vintage 1976,21.02596506,105.8537216,Café
Thanh Xuan,20.9944171,105.8171316,Noodle and Roll,21.02970041,105.8491419,Vietnamese Restaurant
Thanh Xuan,20.9944171,105.8171316,Cau Go Restaurant,21.031994,105.85189,Vietnamese Restaurant
Thanh Xuan,20.9944171,105.8171316,Marvellous Hotel & Spa,21.03134026,105.8471058,Hotel
Thanh Xuan,20.9944171,105.8171316,Kem Tràng Tiền,21.02505482,105.8547373,Ice Cream Parlor
Thanh Xuan,20.9944171,105.8171316,Sunkat’s Burgers,21.055584,105.835629,Burger Joint
Thanh Xuan,20.9944171,105.8171316,Nhà Hát Lớn Hà Nội (Hanoi Opera House),21.0242343,105.8572761,Opera House
Thanh Xuan,20.9944171,105.8171316,Quán Nướng Cây Sung 45 Ngõ 24 Kim Đồng,20.98183148,105.8439115,BBQ Joint
Thanh Xuan,20.9944171,105.8171316,Royal City Square,21.00325312,105.8153302,Pedestrian Plaza
Thanh Xuan,20.9944171,105.8171316,Book Café,21.00661717,105.8457521,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,Bảo Tàng Phòng Không Không Quân (Air Force Museum),21.0004478,105.8292067,History Museum
Thanh Xuan,20.9944171,105.8171316,Phở Cuốn 31,21.04598598,105.8409496,Vietnamese Restaurant
Thanh Xuan,20.9944171,105.8171316,JM Marvel Hotel & Spa,21.03103033,105.8466951,Hotel
Thanh Xuan,20.9944171,105.8171316,Lục Thuỷ,21.02899125,105.8512341,Vietnamese Restaurant
Thanh Xuan,20.9944171,105.8171316,Starbucks,21.00297186,105.8147818,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,CGV Cinemas Vincom Royal City,21.00260067,105.815508,Movie Theater
Thanh Xuan,20.9944171,105.8171316,Pico Xuân Thuỷ,21.03632202,105.7852039,Shopping Mall
Thanh Xuan,20.9944171,105.8171316,The Lounge,21.00732523,105.7834743,Hotel Bar
Thanh Xuan,20.9944171,105.8171316,Ding Tea,21.01130867,105.8005371,Bubble Tea Shop
Thanh Xuan,20.9944171,105.8171316,Paris Gâteaux,21.00686368,105.8035054,Bakery
Thanh Xuan,20.9944171,105.8171316,Công Viên Hòa Bình (Hoa Binh Park),21.06718071,105.78567,Park
Thanh Xuan,20.9944171,105.8171316,Baek Jeong,21.01595719,105.7781038,BBQ Joint
Thanh Xuan,20.9944171,105.8171316,Starbucks,21.06673531,105.8263386,Coffee Shop
Thanh Xuan,20.9944171,105.8171316,Hòa Bình Green City,20.99985352,105.87049,Psychic and Astrologer
Thanh Xuan,20.9944171,105.8171316,The Pizza Company,21.00355755,105.8147782,Pizzeria
Thanh Xuan,20.9944171,105.8171316,Lotte Cinema,20.96438287,105.7716416,Movie Theater
Thanh Xuan,20.9944171,105.8171316,Paris Baguette,21.00640652,105.8035809,Bakery
Thanh Xuan,20.9944171,105.8171316,Twitter Beans Coffee,21.00663858,105.8033337,Coffee Shop
